,open,high,low,close,volume
2025-02-13 13:02:00,240.8500,241.0300,240.7800,241.0000,64891
2025-02-13 13:01:00,240.5700,240.8500,240.5700,240.8400,66509
2025-02-13 13:00:00,240.6800,240.6900,240.3800,240.5586,65070
2025-02-13 12:59:00,240.7300,240.7550,240.6187,240.6891,59053
2025-02-13 12:58:00,240.7400,240.7700,240.5800,240.7300,46825
2025-02-13 12:57:00,240.8250,240.8274,240.6800,240.7400,59419
2025-02-13 12:56:00,241.0400,241.0700,240.8200,240.8200,66455
2025-02-13 12:55:00,241.0700,241.1500,241.0500,241.0500,64281
2025-02-13 12:54:00,240.9500,241.0890,240.9350,241.0806,46374
2025-02-13 12:53:00,241.1200,241.1200,240.9200,240.9400,57580
2025-02-13 12:52:00,241.0400,241.1300,241.0101,241.1200,64234
2025-02-13 12:51:00,241.0400,241.0700,241.0100,241.0300,69054
2025-02-13 12:50:00,240.9488,241.0600,240.8900,241.0400,125130
2025-02-13 12:49:00,240.8700,240.9500,240.8600,240.9500,44844
2025-02-13 12:48:00,240.9500,240.9900,240.8500,240.8762,77338
2025-02-13 12:47:00,240.9100,240.9700,240.9076,240.9400,67166
2025-02-13 12:46:00,240.8300,240.9500,240.8100,240.9100,99470
2025-02-13 12:45:00,240.5400,240.8500,240.5400,240.8200,71832
2025-02-13 12:44:00,240.4700,240.5900,240.4601,240.5400,47199
2025-02-13 12:43:00,240.5800,240.5900,240.4350,240.4800,46844
2025-02-13 12:42:00,240.6100,240.6100,240.5300,240.5800,34901
2025-02-13 12:41:00,240.5917,240.6600,240.5700,240.6000,47915
2025-02-13 12:40:00,240.4076,240.6000,240.3900,240.6000,39234
2025-02-13 12:39:00,240.3750,240.4300,240.3400,240.3800,30945
2025-02-13 12:38:00,240.5200,240.5200,240.3700,240.3711,32089
2025-02-13 12:37:00,240.4100,240.5350,240.4000,240.5330,38358
2025-02-13 12:36:00,240.3850,240.4500,240.3701,240.4077,33519
2025-02-13 12:35:00,240.4913,240.4913,240.3401,240.4100,37537
2025-02-13 12:34:00,240.4400,240.4800,240.3900,240.4800,21840
2025-02-13 12:33:00,240.3700,240.4500,240.3600,240.4350,20903
2025-02-13 12:32:00,240.3300,240.4250,240.3050,240.3800,37288
2025-02-13 12:31:00,240.2200,240.3900,240.2000,240.3300,45614
2025-02-13 12:30:00,240.3499,240.3699,240.1900,240.2100,54001
2025-02-13 12:29:00,240.4200,240.4200,240.2650,240.3450,49855
2025-02-13 12:28:00,240.4600,240.4600,240.4000,240.4200,26721
2025-02-13 12:27:00,240.3550,240.4800,240.3550,240.4700,29147
2025-02-13 12:26:00,240.4100,240.4200,240.3500,240.3550,25452
2025-02-13 12:25:00,240.4200,240.4800,240.3800,240.4350,27966
2025-02-13 12:24:00,240.4900,240.5100,240.3500,240.4200,49872
2025-02-13 12:23:00,240.4601,240.5400,240.4400,240.5100,45188
2025-02-13 12:22:00,240.4500,240.5200,240.3900,240.4600,27267
2025-02-13 12:21:00,240.3650,240.4593,240.3401,240.4500,37468
2025-02-13 12:20:00,240.3650,240.4300,240.3400,240.3532,34187
2025-02-13 12:19:00,240.5300,240.5500,240.3600,240.3700,48787
2025-02-13 12:18:00,240.4300,240.5800,240.4200,240.5202,82220
2025-02-13 12:17:00,240.3750,240.4450,240.3400,240.4200,36543
2025-02-13 12:16:00,240.4700,240.4700,240.3500,240.3750,30319
2025-02-13 12:15:00,240.4400,240.4900,240.3900,240.4700,43508
2025-02-13 12:14:00,240.3900,240.5200,240.3900,240.4350,34976
2025-02-13 12:13:00,240.2001,240.3899,240.0710,240.3750,57555
2025-02-13 12:12:00,240.4600,240.5182,240.1905,240.2100,56006
2025-02-13 12:11:00,240.5900,240.6434,240.3650,240.4610,37410
2025-02-13 12:10:00,240.5987,240.6100,240.4676,240.5600,47314
2025-02-13 12:09:00,240.6400,240.6500,240.5700,240.5950,54701
2025-02-13 12:08:00,240.7200,240.7300,240.5200,240.6300,48392
2025-02-13 12:07:00,240.7250,240.8400,240.7100,240.7300,39437
2025-02-13 12:06:00,240.8300,240.8400,240.7100,240.7299,56965
2025-02-13 12:05:00,240.6901,240.8300,240.6400,240.8200,119081
2025-02-13 12:04:00,240.6900,240.7500,240.6400,240.7000,88953
2025-02-13 12:03:00,240.5350,240.6999,240.4200,240.6950,109156
2025-02-13 12:02:00,240.5761,240.6000,240.5100,240.5300,53817
2025-02-13 12:01:00,240.3850,240.5900,240.3000,240.5614,54252
2025-02-13 12:00:00,240.4200,240.4900,240.3500,240.3850,63728
2025-02-13 11:59:00,240.3350,240.5600,240.3182,240.3900,107224
2025-02-13 11:58:00,240.4415,240.4600,240.2600,240.3400,49296
2025-02-13 11:57:00,240.2072,240.4800,240.1500,240.4401,82832
2025-02-13 11:56:00,240.2100,240.3000,240.1698,240.2049,55700
2025-02-13 11:55:00,240.2400,240.2400,240.1600,240.1950,66982
2025-02-13 11:54:00,240.2550,240.4386,240.2200,240.2350,74483
2025-02-13 11:53:00,240.2500,240.2899,240.0900,240.2600,65411
2025-02-13 11:52:00,240.3800,240.4350,240.2201,240.2579,42363
2025-02-13 11:51:00,240.4600,240.5300,240.3850,240.3850,69875
2025-02-13 11:50:00,240.2850,240.4700,240.2850,240.4550,37357
2025-02-13 11:49:00,240.2467,240.3100,240.1905,240.2999,26804
2025-02-13 11:48:00,240.3547,240.3800,240.2000,240.2350,33767
2025-02-13 11:47:00,240.2800,240.4799,240.2800,240.3600,53224
2025-02-13 11:46:00,240.0900,240.3167,240.0900,240.2995,44221
2025-02-13 11:45:00,240.0850,240.1400,240.0657,240.0900,25098
2025-02-13 11:44:00,240.0700,240.1400,240.0500,240.0800,30855
2025-02-13 11:43:00,240.1200,240.2100,239.9700,240.0650,258481
2025-02-13 11:42:00,240.1550,240.2500,240.1100,240.1299,69533
2025-02-13 11:41:00,240.0750,240.2500,240.0600,240.1450,48348
